Height(km),Pressure(hPa),Temperature(K),Density(gm-3),Water Vapor Moist Stratosphere, Water Vapor Dry Stratosphere
0,1.013E3,288,1.225E3,5.9,5.9
1,8.98E2,282,1.112E3,4.2,4.2
2,7.950E2,275,1.007E3,2.9,2.9
3,7.012E2,269,9.093E2,1.8,1.8
4,6.166E2,262,8.194E2,1.1,1.1
5,5.405E2,256,7.364E2,6.4E-1,6.4E-1
6,4.722E2,249,6.601E2,3.8E-1,3.8E-1
7,4.111E2,243,5.900E2,2.1E-1,2.1E-1
8,3.565E2,236,5.258E2,1.2E-1,1.2E-1
9,3.080E2,230,4.671E2,4.6E-2,4.6E-2
10,2.650E2,223,4.135E2,1.8E-2,1.8E-2
11,2.270E2,217,3.648E2,8.2E-3,8.2E-3
12,1.940E2,217,3.119E2,3.7E-3,3.7E-3
13,1.658E2,217,2.666E2,1.8E-3,1.8E-3
14,1.417E2,217,2.279E2,8.4E-4,8.4E-4
15,1.211E2,217,1.948E2,7.2E-4,7.2E-4
16,1.035E2,217,1.665E2,5.5E-4,3.3E-4
17,8.850E1,217,1.423E2,4.7E-4,2.8E-4
18,7.565E1,217,1.217E2,4.0E-4,2.4E-4
19,6.467E1,217,1.040E2,4.1E-4,2.1E-4
20,5.529E1,217,8.891E1,4.0E-4,1.8E-4
21,4.729E1,218,7.572E1,4.4E-4,1.5E-4
22,4.048E1,219,6.450E1,4.6E-4,1.3E-4
23,3.467E1,220,5.501E1,5.2E-4,1.1E-4
24,2.972E1,221,4.694E1,5.4E-4,9.4E-5
25,2.549E1,222,4.008E1,6.1E-4,8.0E-5
30,1.197E1,227,1.841E1,3.2E-4,3.7E-5
35,5.746,237,8.463,1.3E-4,1.7E-5
40,2.871,253,3.996,4.8E-5,7.9E-6
45,1.491,264,1.966,2.2E-5,3.9E-6
50,7.978E-1,271,1.027,7.8E-6,2.1E-6
70,5.220E-2,220,8.283E-2,1.2E-7,1.8E-7
100,3.008E-4,210,4.990E-4,3.0E-4,1.0E-9
